Mode,ORegionDAT,DRegionDAT,yearweek,sanitized_cost
R,CA_FRS,MA_BOS,2020-42,2.591772493865908
R,CA_FRS,MA_BOS,2020-43,2.5472753569009696
R,CA_FRS,MA_BOS,2020-44,2.8258846067410364
R,CA_FRS,MA_BOS,2020-45,2.837419612040372
R,CA_FRS,MA_BOS,2020-46,2.906691943195794
R,CA_FRS,MA_BOS,2020-47,2.742150033403468
R,CA_FRS,MA_BOS,2020-48,2.636460074371058
R,CA_FRS,MA_BOS,2020-49,2.5939155998928594
R,CA_FRS,MA_BOS,2020-50,2.597612752181703
R,CA_FRS,MA_BOS,2020-51,2.6503006793278994
R,CA_FRS,MA_BOS,2021-00,2.741858550125942
R,CA_FRS,MA_BOS,2021-01,2.567129507658022
R,CA_FRS,MA_BOS,2021-02,2.521569635859284
R,CA_FRS,MA_BOS,2021-03,2.276462144318317
R,CA_FRS,MA_BOS,2021-04,2.1577888277975537
R,CA_FRS,MA_BOS,2021-05,2.197734875242769
R,CA_FRS,MA_BOS,2021-07,2.6382054177472045
R,CA_FRS,MA_BOS,2021-08,2.7675534010956
R,CA_FRS,MA_BOS,2021-09,2.6297702258479454
R,CA_FRS,MA_BOS,2021-12,2.6039676354896626
R,CA_FRS,MA_BOS,2021-13,2.762593564390837
R,CA_FRS,MA_BOS,2021-14,2.793619493292011
R,CA_FRS,MA_BOS,2021-15,2.731845422193185
R,CA_FRS,MA_BOS,2021-16,2.8150713510943595
R,CA_FRS,MA_BOS,2021-17,2.8576972799955334
R,CA_FRS,MA_BOS,2021-18,3.0859232088967077
R,CA_FRS,MA_BOS,2021-19,3.041549137797882
R,CA_FRS,MA_BOS,2021-20,3.147975066699056
R,CA_FRS,MA_BOS,2021-21,3.2312009956002297
R,CA_FRS,MA_BOS,2021-22,3.215826924501404
R,CA_FRS,MA_BOS,2021-23,3.2352528534025784
R,CA_FRS,MA_BOS,2021-24,3.2372787823037523
R,CA_FRS,MA_BOS,2021-25,3.175504711204926
R,CA_FRS,MA_BOS,2021-26,3.339930640106101
V,CA_FRS,IL_CHI,2017-02,1.114482311985247
V,CA_FRS,IL_CHI,2017-03,1.1385961455138538
V,CA_FRS,IL_CHI,2017-04,1.1341800509129887
V,CA_FRS,IL_CHI,2017-05,1.1365979068147314
V,CA_FRS,IL_CHI,2017-06,1.1293701763660542
V,CA_FRS,IL_CHI,2017-08,1.1154301908992914
V,CA_FRS,IL_CHI,2017-09,1.0714066662705055
V,CA_FRS,IL_CHI,2017-10,1.128109361243145
V,CA_FRS,IL_CHI,2017-11,1.0949781175239013
V,CA_FRS,IL_CHI,2017-12,1.068187832035706
V,CA_FRS,IL_CHI,2017-13,1.0685202568999441
V,CA_FRS,IL_CHI,2017-14,1.075648813691323
V,CA_FRS,IL_CHI,2017-15,1.0520827975912839
V,CA_FRS,IL_CHI,2017-17,1.0937766567760105
V,CA_FRS,IL_CHI,2017-19,1.1432876994700751
V,CA_FRS,IL_CHI,2017-20,1.145099228089486
V,CA_FRS,IL_CHI,2017-22,1.1338631304581275
V,CA_FRS,IL_CHI,2017-24,1.1031802390324648
V,CA_FRS,IL_CHI,2017-25,1.1627298255827525
V,CA_FRS,IL_CHI,2017-26,1.1895513108186746
V,CA_FRS,IL_CHI,2017-27,1.215873125488814
V,CA_FRS,IL_CHI,2017-28,1.1751820879554966
V,CA_FRS,IL_CHI,2017-29,1.1765282108190467
V,CA_FRS,IL_CHI,2017-30,1.1818786967225794
V,CA_FRS,IL_CHI,2017-31,1.1675148575045031
V,CA_FRS,IL_CHI,2017-32,1.11558985666811
V,CA_FRS,IL_CHI,2017-34,1.1774832571325433
V,CA_FRS,IL_CHI,2017-35,1.231856517862694
V,CA_FRS,IL_CHI,2017-36,1.1791676356592096
V,CA_FRS,IL_CHI,2017-38,1.2677917489246395
V,CA_FRS,IL_CHI,2017-39,1.2059785655738535
