"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-26","0.00","0.0","0.0",,"105","81",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-27","0.00","0.0","0.0",,"108","85",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-28","0.00","0.0","0.0",,"100","83",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-29","0.03","0.0","0.0",,"102","80",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-30","0.02","0.0","0.0",,"98","79",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-31","0.00","0.0",,,"104","86",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-08-01","0.00","0.0","0.0",,"101","85",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-08-02","0.00","0.0","0.0",,"96","85",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-08-03","0.10","0.0","0.0",,"102","78",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-08-04","0.00","0.0","0.0",,"101","77",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-08-05","0.00","0.0","0.0",,"103","83",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-08-06","0.00","0.0","0.0",,"102","83",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-08-07","0.00","0.0","0.0",,"104","80",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-08-08","0.00","0.0","0.0",,"107","80",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-08-09","0.00","0.0","0.0",,"109","79",
